,Ocean,SAMPMETHOD,Measurement,UNIT,Latitude,Longitude,Date,geometry
0,Pacific Ocean,Neuston net,0.0,pieces/m3,6.35,-121.85,"Wed, 18 Dec 2002 00:00:00 GMT",POINT (-121.85 6.35000000000002)
1,Pacific Ocean,Manta net,0.013,pieces/m3,0.5,-95.35,"Tue, 17 Oct 2006 00:00:00 GMT",POINT (-95.35 0.500000000000057)
2,Atlantic Ocean,Aluminum bucket,1368.0,pieces/m3,0.631825,-45.398158,"Wed, 17 Oct 2018 00:00:00 GMT",POINT (-45.398158 0.631825000000049)
3,Pacific Ocean,Grab sample,0.001,pieces/m3,16.623,-99.6978,"Sat, 03 Jan 2015 00:00:00 GMT",POINT (-99.6978 16.623)
4,Atlantic Ocean,Neuston net,0.0,pieces/m3,19.77,-81.06,"Thu, 15 Mar 2007 00:00:00 GMT",POINT (-81.0599999999999 19.77)
7,Atlantic Ocean,Neuston net,0.0,pieces/m3,55.997,-4.888,"Tue, 13 Nov 2018 00:00:00 GMT",POINT (-4.88799999999998 55.9970000000001)
8,Arctic Ocean,Intake seawater pump,0.0,pieces/m3,81.1909,12.8995,"Fri, 16 Sep 2016 00:00:00 GMT",POINT (12.8995 81.1909000000001)
9,Atlantic Ocean,Grab sample,0.018,pieces/m3,-31.696,-48.56,"Tue, 11 Aug 2015 00:00:00 GMT",POINT (-48.5599999999999 -31.696)
10,Atlantic Ocean,Manta net,1.956425,pieces/m3,32.6775,34.920833,"Sun, 27 Oct 2013 00:00:00 GMT",POINT (34.9208330000001 32.6775000000001)
11,Atlantic Ocean,Manta net,0.138471,pieces/m3,38.617833,-20.686667,"Thu, 13 Jun 2019 00:00:00 GMT",POINT (-20.6866669999999 38.6178330000001)
12,Atlantic Ocean,Neuston net,0.009968,pieces/m3,43.11,-64.37,"Sat, 09 Jun 2001 00:00:00 GMT",POINT (-64.3699999999999 43.1100000000001)
13,Atlantic Ocean,Neuston net,0.0,pieces/m3,43.61,-67.0,"Mon, 06 Jun 2005 00:00:00 GMT",POINT (-66.9999999999999 43.6100000000001)
14,Atlantic Ocean,Manta net,0.709184,pieces/m3,44.240431,8.469206,"Tue, 11 Sep 2018 00:00:00 GMT",POINT (8.46920600000004 44.2404310000001)
15,Pacific Ocean,Neuston net,0.0,pieces/m3,57.22,-136.23,"Sat, 13 Jul 2002 00:00:00 GMT",POINT (-136.23 57.22)
16,Atlantic Ocean,Neuston net,0.004425,pieces/m3,58.034333,-3.627833,"Fri, 18 Jan 2019 00:00:00 GMT",POINT (-3.62783299999995 58.0343330000001)
17,Atlantic Ocean,Neuston net,0.003088,pieces/m3,41.05,-70.67,"Wed, 24 Jun 1998 00:00:00 GMT",POINT (-70.67 41.0500000000001)
18,Atlantic Ocean,Neuston net,0.00216,pieces/m3,41.49,-70.9,"Fri, 05 Jul 1996 00:00:00 GMT",POINT (-70.9 41.4900000000001)
19,Atlantic Ocean,Neuston net,0.01296,pieces/m3,40.06,-71.16,"Mon, 10 Jul 1995 00:00:00 GMT",POINT (-71.16 40.0600000000001)
20,Atlantic Ocean,Neuston net,0.0048,pieces/m3,39.84,-68.3,"Thu, 06 Sep 2001 00:00:00 GMT",POINT (-68.3 39.84)
21,Atlantic Ocean,Neuston net,0.00648,pieces/m3,40.21,-68.1,"Thu, 20 Jul 1989 00:00:00 GMT",POINT (-68.1 40.21)
22,Atlantic Ocean,Neuston net,0.0,pieces/m3,37.47,-66.97,"Mon, 14 Oct 1991 00:00:00 GMT",POINT (-66.97 37.47)
25,Atlantic Ocean,Neuston net,0.01944,pieces/m3,31.89,-71.22,"Sat, 08 Apr 2000 00:00:00 GMT",POINT (-71.22 31.89)
26,Atlantic Ocean,Neuston net,0.047516,pieces/m3,32.14,-64.73,"Wed, 07 Jun 2000 00:00:00 GMT",POINT (-64.73 32.14)
27,Atlantic Ocean,Neuston net,0.00432,pieces/m3,32.67,-64.48,"Wed, 13 May 1992 00:00:00 GMT",POINT (-64.48 32.6700000000001)
28,Atlantic Ocean,Neuston net,0.0,pieces/m3,39.69,-72.06,"Wed, 03 Sep 2008 00:00:00 GMT",POINT (-72.0599999999999 39.6900000000001)
29,Pacific Ocean,Neuston net,0.0,pieces/m3,33.06,-148.13,"Tue, 17 Jul 2007 00:00:00 GMT",POINT (-148.13 33.0600000000001)
30,Pacific Ocean,Manta net,8.294709,pieces/m3,31.790833,-143.96,"Mon, 02 Dec 2019 00:00:00 GMT",POINT (-143.96 31.7908330000001)
31,Pacific Ocean,Manta net,4.532856,pieces/m3,31.99426,-135.652,"Fri, 14 Aug 2015 00:00:00 GMT",POINT (-135.652 31.9942600000001)
35,Atlantic Ocean,PVC cylinder,2115.655853,pieces/m3,20.974583,-97.3069,"Thu, 12 Apr 2018 00:00:00 GMT",POINT (-97.3069 20.9745830000001)
36,Atlantic Ocean,Neuston net,0.00864,pieces/m3,24.28,-82.18,"Thu, 09 Jan 1997 00:00:00 GMT",POINT (-82.1799999999999 24.28)
37,Atlantic Ocean,Neuston net,0.01296,pieces/m3,21.84,-59.34,"Sat, 31 Oct 1998 00:00:00 GMT",POINT (-59.34 21.84)
38,Atlantic Ocean,Neuston net,0.00648,pieces/m3,20.18,-70.07,"Mon, 14 Apr 2008 00:00:00 GMT",POINT (-70.0699999999999 20.1800000000001)
39,Atlantic Ocean,Grab sample,0.0,pieces/m3,25.38,-18.59,"Wed, 26 Nov 2014 00:00:00 GMT",POINT (-18.59 25.3800000000001)
40,Atlantic Ocean,Intake seawater pump,0.5,pieces/m3,25.164051,-18.900932,"Wed, 11 Nov 2015 00:00:00 GMT",POINT (-18.900932 25.164051)
53,Pacific Ocean,Manta net,0.143,pieces/m3,29.2323,-143.8742,"Sat, 23 Oct 2010 00:00:00 GMT",POINT (-143.8742 29.2323000000001)
54,Pacific Ocean,PVC cylinder,2115.655853,pieces/m3,26.729392,-111.906818,"Wed, 11 Jul 2018 00:00:00 GMT",POINT (-111.906818 26.7293920000001)
55,Atlantic Ocean,Neuston net,0.0,pieces/m3,26.42,-77.91,"Thu, 06 May 1993 00:00:00 GMT",POINT (-77.91 26.4200000000001)
57,Atlantic Ocean,Van Dorn sampler,0.0,pieces/m3,27.9237,-82.4807,"Tue, 09 Aug 2016 00:00:00 GMT",POINT (-82.4807 27.9237000000001)
59,Atlantic Ocean,Neuston net,0.008096,pieces/m3,15.65,-59.37,"Thu, 01 Nov 2001 00:00:00 GMT",POINT (-59.3699999999999 15.65)
60,Atlantic Ocean,Neuston net,0.0,pieces/m3,12.73,-61.7,"Wed, 09 Dec 1992 00:00:00 GMT",POINT (-61.6999999999999 12.7300000000001)
61,Pacific Ocean,Manta net,0.64902,pieces/m3,28.0315,-131.4227,"Wed, 16 Sep 2015 00:00:00 GMT",POINT (-131.4227 28.0315000000001)
62,Pacific Ocean,Neuston net,0.0,pieces/m3,25.35,-141.11,"Tue, 17 Feb 2009 00:00:00 GMT",POINT (-141.11 25.35)
63,Pacific Ocean,Neuston net,0.0,pieces/m3,22.76,-141.69,"Sat, 03 Apr 2004 00:00:00 GMT",POINT (-141.69 22.76)
64,Pacific Ocean,Neuston net,0.0,pieces/m3,29.98,-140.0,"Mon, 16 Aug 2004 00:00:00 GMT",POINT (-140 29.9800000000001)
66,Atlantic Ocean,Neuston net,0.0,pieces/m3,12.77,-79.83,"Tue, 03 Mar 1992 00:00:00 GMT",POINT (-79.83 12.77)
67,Atlantic Ocean,Neuston net,0.00432,pieces/m3,11.17,-67.28,"Thu, 16 Dec 1999 00:00:00 GMT",POINT (-67.28 11.1700000000001)
68,Atlantic Ocean,Neuston net,0.00216,pieces/m3,11.82,-66.38,"Sat, 20 Dec 2003 00:00:00 GMT",POINT (-66.3799999999999 11.8200000000001)
69,Atlantic Ocean,Neuston net,0.0,pieces/m3,11.94,-68.26,"Tue, 15 Dec 1987 00:00:00 GMT",POINT (-68.2599999999999 11.9400000000001)
70,Atlantic Ocean,Neuston net,0.0,pieces/m3,15.28,-64.43,"Sat, 03 Dec 1994 00:00:00 GMT",POINT (-64.4299999999999 15.28)
71,Atlantic Ocean,Aluminum bucket,885.0,pieces/m3,0.678683,-47.812442,"Thu, 15 Mar 2018 00:00:00 GMT",POINT (-47.812442 0.678683000000035)
72,Atlantic Ocean,Neuston net,0.043196,pieces/m3,17.27,-76.03,"Sun, 28 Feb 1993 00:00:00 GMT",POINT (-76.03 17.27)
73,Atlantic Ocean,Neuston net,0.0,pieces/m3,16.73,-81.21,"Sun, 05 Mar 2000 00:00:00 GMT",POINT (-81.21 16.7300000000001)
74,Atlantic Ocean,Neuston net,0.0,pieces/m3,16.5,-80.97,"Sat, 28 Feb 1998 00:00:00 GMT",POINT (-80.97 16.5000000000001)
75,Atlantic Ocean,Neuston net,0.0,pieces/m3,11.38,-63.34,"Wed, 09 Dec 1998 00:00:00 GMT",POINT (-63.34 11.3800000000001)
76,Atlantic Ocean,Neuston net,0.0,pieces/m3,11.22,-62.23,"Tue, 17 Dec 1996 00:00:00 GMT",POINT (-62.23 11.22)
77,Atlantic Ocean,Manta net,0.057342,pieces/m3,42.637833,-9.14315,"Sun, 16 Sep 2018 00:00:00 GMT",POINT (-9.14314999999993 42.6378330000001)
78,Atlantic Ocean,Neuston net,0.041614,pieces/m3,55.901,-4.909167,"Mon, 22 Oct 2018 00:00:00 GMT",POINT (-4.90916699999997 55.9010000000001)
79,Atlantic Ocean,Manta net,0.9,pieces/m3,35.742,26.212,"Wed, 20 Mar 2019 00:00:00 GMT",POINT (26.212 35.7420000000001)
80,Pacific Ocean,Neuston net,0.0,pieces/m3,24.21,-149.32,"Mon, 20 Aug 2007 00:00:00 GMT",POINT (-149.32 24.21)
81,Atlantic Ocean,Manta net,0.78064,pieces/m3,31.746667,34.593,"Sun, 09 Feb 2014 00:00:00 GMT",POINT (34.5930000000001 31.7466670000001)
83,Atlantic Ocean,Neuston net,0.002088,pieces/m3,46.29,-57.62,"Tue, 25 Jul 1989 00:00:00 GMT",POINT (-57.6199999999999 46.2900000000001)
84,Atlantic Ocean,Neuston net,0.0,pieces/m3,42.58,-65.77,"Tue, 19 May 1992 00:00:00 GMT",POINT (-65.77 42.58)
